strain	virus	date	region	site
Bd_UM142	BdBrazil	2009-XX-XX	Root	AmRoot
1_BdBE1	GPL	2015-XX-XX	Global	Europe
10_BdBD9	GPL	2016-XX-XX	Global	Europe
11_BdBE10	GPL	2016-XX-XX	Global	Europe
115_M247	GPL	2017-XX-XX	Global	Europe
116_M249	GPL	2017-XX-XX	Global	Europe
117_M1264	GPL	2017-XX-XX	Global	Europe
118_M1268	GPL	2017-XX-XX	Global	Europe
13_Ab2_7	GPL	2016-XX-XX	Global	Europe
139_KEM89	GPL	2010-XX-XX	Global	Africa
144_CN049	GPL	2011-XX-XX	Global	Americas
147_BL3	GPL	2016-XX-XX	Global	Asia
148_BL5	GPL	2016-XX-XX	Global	Asia
15_Aly3	GPL	2016-XX-XX	Global	Europe
150_BL9	GPL	2016-XX-XX	Global	Asia
152_QB11	GPL	2017-XX-XX	Global	Asia
160_XM_20	GPL	2017-XX-XX	Global	Asia
163_VB34	GPL	2017-XX-XX	Global	Asia
166_SH20	GPL	2017-XX-XX	Global	Asia
168_SH28	GPL	2017-XX-XX	Global	Asia
172_Yuan1973	GPL	2017-XX-XX	Global	Asia
175_Yuan2294	GPL	2017-XX-XX	Global	Asia
2_BdBE2	GPL	2015-XX-XX	Global	Europe
20_Aly19	GPL	2016-XX-XX	Global	Europe
3_BdBD3	GPL	2015-XX-XX	Global	Europe
4_BdBE4	GPL	2015-XX-XX	Global	Europe
5_BdBE5	GPL	2016-XX-XX	Global	Europe
6_BdBD6	GPL	2016-XX-XX	Global	Europe
68_11FPC30	GPL	2011-XX-XX	Global	Europe
69_11FPC33	GPL	2011-XX-XX	Global	Europe
7_BdNL1	GPL	2016-XX-XX	Global	Europe
70_11FPC36	GPL	2011-XX-XX	Global	Europe
71_11FPC39	GPL	2011-XX-XX	Global	Europe
72_11FPC42	GPL	2011-XX-XX	Global	Europe
73_BB40	GPL	2014-XX-XX	Global	Americas
74_BB94	GPL	2014-XX-XX	Global	Americas
75_BB116	GPL	2014-XX-XX	Global	Americas
76_BB67	GPL	2014-XX-XX	Global	Americas
78_pe3	GPL	2014-XX-XX	Global	Americas
79_ds6	GPL	2014-XX-XX	Global	Americas
8_BdBE7	GPL	2016-XX-XX	Global	Europe
81_pd9	GPL	2014-XX-XX	Global	Americas
82_pd12	GPL	2014-XX-XX	Global	Americas
84_pd34	GPL	2014-XX-XX	Global	Americas
85_pd26a	GPL	2014-XX-XX	Global	Americas
9_BdBE8	GPL	2016-XX-XX	Global	Europe
ACD4253	GPL	2005-XX-XX	Global	Asia
AR335	GPL	2017-XX-XX	Global	Americas
AR339	GPL	2017-XX-XX	Global	Americas
Bd_Campana	GPL	2012-XX-XX	Global	Americas
Bd_CJB4	GPL	2009-XX-XX	Global	Americas
Bd_CJB5_2	GPL	2009-XX-XX	Global	Americas
Bd_CJB7	GPL	2009-XX-XX	Global	Americas
Bd_ev001	GPL	2010-XX-XX	Global	Americas
Bd_JAM81	GPL	2006-XX-XX	Global	Americas
Bd_JEL238	GPL	1999-XX-XX	Global	Americas
Bd_JEL267	GPL	1999-XX-XX	Global	Americas
Bd_JEL271	GPL	1999-XX-XX	Global	Americas
Bd_JEL275	GPL	1999-XX-XX	Global	Americas
Bd_JEL310	GPL	2005-XX-XX	Global	Americas
Bd_JEL359	GPL	2002-XX-XX	Global	Americas
Bd_JEL410	GPL	2004-XX-XX	Global	Americas
Bd_JEL427	GPL	2004-XX-XX	Global	Americas
Bd_JEL429	GPL	2005-XX-XX	Global	Americas
Bd_JEL627	GPL	2009-XX-XX	Global	Americas
Bd_Lb_Aber	GPL	2009-XX-XX	Global	Australia
Bd_MexMkt	GPL	2009-XX-XX	Global	Americas
Bd_MLA1	GPL	2009-XX-XX	Global	Americas
Bd_NBRC106979	GPL	2007-XX-XX	Global	Asia
Bd_PAB01	GPL	2013-XX-XX	Global	Americas
Bd_Pc_CN_JLV	GPL	2015-XX-XX	Global	Americas
Bd_RioMaria	GPL	2012-XX-XX	Global	Americas
Bd_SRS812	GPL	2006-XX-XX	Global	Americas
Bd_TST75	GPL	2007-XX-XX	Global	Americas
BP56	GPL	2017-XX-XX	Global	Americas
DCB125	GPL	2011-XX-XX	Global	Africa
DCB195	GPL	2011-XX-XX	Global	Africa
LBP111	GPL	2016-XX-XX	Global	Americas
LBP112	GPL	2016-XX-XX	Global	Americas
LC3	GPL	2011-XX-XX	Global	Asia
LC4	GPL	2011-XX-XX	Global	Asia
MHJ428	GPL	2016-XX-XX	Global	Asia
OWR30	GPL	2017-XX-XX	Global	Americas
OWR31	GPL	2017-XX-XX	Global	Americas
OWR36	GPL	2017-XX-XX	Global	Americas
OWR37	GPL	2017-XX-XX	Global	Americas
RMB10688	GPL	2009-XX-XX	Global	Asia
RMB10689	GPL	2009-XX-XX	Global	Asia
RMB13063	GPL	2010-XX-XX	Global	Asia
RMB14686	GPL	2011-XX-XX	Global	Asia
RMB16866	GPL	2012-XX-XX	Global	Asia
SMR24	GPL	2017-XX-XX	Global	Americas
SMR25	GPL	2017-XX-XX	Global	Americas
SN01_RKS10131	GPL	2010-XX-XX	Global	Americas
SN14_RKS10571	GPL	2010-XX-XX	Global	Americas
SN25_CBSX036	GPL	2010-XX-XX	Global	Americas
SN32_AJS1192	GPL	2010-XX-XX	Global	Americas
SN40_AJS750	GPL	2010-XX-XX	Global	Americas
V_221034	GPL	1993-XX-XX	Global	Americas
V_60710	GPL	2010-XX-XX	Global	Americas
V_AMA2627	GPL	2009-XX-XX	Global	Americas
V_AMA2630	GPL	2009-XX-XX	Global	Americas
V_AMA2665	GPL	2009-XX-XX	Global	Americas
V_JCC221	GPL	2014-XX-XX	Global	Americas
V_JCC226	GPL	2014-XX-XX	Global	Americas
V_PH261	GPL	2012-XX-XX	Global	Asia
V_PR13	GPL	2014-XX-XX	Global	Americas
V_QCAZA17213	GPL	1998-XX-XX	Global	Americas
V_QCAZA43574	GPL	2009-XX-XX	Global	Americas
